"id","TypeCode","Type","Name","WardCode","Ward","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"4fc16ec6-edb7-42d3-acc6-12966a43ccb6","1","Town Panchayat","Vilangudi (TP)","20CT2203W","Vilangudi (TP) WARD NO.-0003","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"4fecc940-bbea-4924-a840-01b268784651","1","Town Panchayat","Vadipatti (TP)","20TP0912W","Vadipatti (TP) WARD NO.-0012","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"513ac96e-ae30-4156-b029-9e5d1e779e58","2","Municipality","Melur (M)","20MU0115W","Melur (M) WARD NO.-0014","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"51808818-f4ec-4689-9afc-de9919c5d00b","1","Town Panchayat","Harveypatti (TP)","20CT0304W","Harveypatti (TP) WARD NO.-0004","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"51af8305-7bcc-4e70-8c05-1b3c63897b74","3","Corporation","Zone 5- West","20MC0172W","Madurai (M Corp.) WARD NO.-0072","System","2022-10-15 10:04:26.502928+00","","2022-10-15 10:04:26.502928+00"
"52a670fc-6fac-4ca7-87ba-31a24c5b1464","1","Town Panchayat","Elumalai (TP)","20TP0303W","Elumalai (TP) WARD NO.-0003","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"53970c35-c204-4ab0-af1b-bbaeafb00b5d","1","Town Panchayat","Vilangudi (TP)","20CT2210W","Vilangudi (TP) WARD NO.-0010","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"54d177c0-ba7d-4ba6-86f3-fa9bb4ad05bf","2","Municipality","Melur (M)","20MU0124W","Melur (M) WARD NO.-0023","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"54db8467-8a1b-4332-a678-f0386aece9f2","1","Town Panchayat","Harveypatti (TP)","20CT0305W","Harveypatti (TP) WARD NO.-0005","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"553b06f9-c618-4db6-851c-ce9c59096358","3","Corporation","Zone 3- Central","20MC0169W","Madurai (M Corp.) WARD NO.-0069","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"55f3614c-b6fe-4031-8e5b-cbf4df011fe4","1","Town Panchayat","Viraganur (CT)","20CT2301W","Viraganur (CT) WARD NO.-0001","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"55f6caaa-9b44-4e4c-bafb-b7258f5a1eed","2","Municipality","Usilampatti (M)","20MU0321W","Usilampatti (M) WARD NO.-0021","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"56aa7c1f-c406-48f1-b97e-92b4bbd04c16","1","Town Panchayat","Nilaiyur  (I Bit) (CT)","20CT1101W","Nilaiyur  (I Bit) (CT) WARD NO.-0001","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"575fa6a0-f3b6-4788-9ec2-bdf7de96c8ac","2","Municipality","Thirumangalam (M)","20MU0204W","Thirumangalam (M) WARD NO.-0004","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"578c0b54-4c61-4fe0-949a-ef3adca967ea","1","Town Panchayat","Palamedu (TP)","20TP0515W","Palamedu (TP) WARD NO.-0015","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"57dde066-91b2-4a8c-897d-5805b70155ae","1","Town Panchayat","Vadipatti (TP)","20TP0905W","Vadipatti (TP) WARD NO.-0005","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"5afc469a-0861-4ad5-b800-8dddf098d3a6","2","Municipality","Melur (M)","20MU0107W","Melur (M) WARD NO.-0007","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"5bb2f120-f2c1-4b40-ae60-a539ddca4df5","1","Town Panchayat","Thanakkankulam (CT)","20CT1701W","Thanakkankulam (CT) WARD NO.-0001","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"5c2c0c2f-db51-4451-b286-f188cc1c5770","3","Corporation","Zone 4- South","20MC0130W","Madurai (M Corp.) WARD NO.-0030","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
